exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,3.02503,9.124337,18.0,54.450540000000004,2025-09-16
drift,CROSS,1KWEN-USD,4,0.041328,301887.079515,399076.0,16493.012928,2025-09-16
drift,CROSS,1MBONK-USD,10,23.1735,4051265.775997,241252.7,5590669.44345,2025-09-16
drift,CROSS,1MPEPE-USD,4,10.7972,180001.703462,29343.0,316822.23960000003,2025-09-16
drift,CROSS,ADA-USD,10,0.862188,143031.562529,881748.0,760232.544624,2025-09-16
drift,CROSS,AI16Z-USD,4,0.108101,21799.742114,617779.0,66782.527679,2025-09-16
drift,CROSS,APT-USD,10,4.364809,89166.050051,87527.0,382038.63734300004,2025-09-16
drift,CROSS,ARB-USD,10,0.490888,74835.399913,799319.0,392376.105272,2025-09-16
drift,CROSS,AVAX-USD,10,29.504518,929069.92998,50930.0,1502665.10174,2025-09-16
drift,CROSS,BERA-USD,5,2.2583,2213.071045,98467.8,222369.83274,2025-09-16
drift,CROSS,BNB-USD,10,921.00143,40130.593362,313.07,288337.9176901,2025-09-16
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-09-16
drift,CROSS,BTC-USD,101,115213.075413,60335206.692081,872.8359,100562108.36987373,2025-09-16
drift,CROSS,CLOUD-USD,2,0.134396,17977.831893,1569156.0,210888.289776,2025-09-16
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-09-16
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-09-16
drift,CROSS,DOGE-USD,10,0.268301,914184.446286,16345934.0,4385630.438134001,2025-09-16
drift,CROSS,DRIFT-USD,5,0.612722,1073467.859495,7890362.0,4834598.385364,2025-09-16
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-09-16
drift,CROSS,ETH-USD,101,4528.427809,77858441.250815,16591.698,75134306.62172969,2025-09-16
drift,CROSS,FARTCOIN-USD,10,0.822291,734355.826758,2484526.0,2043003.369066,2025-09-16
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-09-16
drift,CROSS,FWOG-USD,4,0.040549,11238.782238,3595738.0,145803.580162,2025-09-16
